iter	Passed	Remaining
0	1	121
1	2	99
2	2	91
3	3	81
4	4	78
5	4	76
6	5	74
7	6	75
8	7	74
9	7	71
10	8	69
11	9	69
12	10	67
13	10	66
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	44
37	26	44
38	27	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
